"account_id","class","follower","nation"
"112398730","politician",154385,"UK"
"198174972","fake",1663,"IT"
"415571726","politician",228977,"IT"
"449951300","politician",6871,"ES"
"2388162240","politician",4931,"ES"
"189738027","fake",4879,"DE"
"1379066754","politician",23049,"DE"
"216327829","politician",47903,"UK"
"117761523","politician",41468,"FR"
"140133595","politician",138452,"IT"
"216881337","politician",2457390,"US"
"221902171","politician",876547,"IT"
"2923064889","politician",3245,"ES"
"784574954","politician",312491,"ES"
"113583713","politician",7982,"UK"
"104849271","politician",93395,"ES"
"73572581","fake",65345,"US"
"2179010672","politician",32094,"DE"
"347513124","politician",4866,"ES"
"520449734","politician",313980,"FR"
"404836757","politician",14322,"IT"
"510693528","politician",2261,"IT"
"869894239","politician",53143,"DE"
"463907386","politician",32136,"FR"
"392199690","politician",72852,"ES"
"153388751","politician",10172,"ES"
"56331789","politician",244442,"ES"
"328634628","politician",213072,"UK"
"104485125","politician",200543,"IT"
"2343845391","politician",6564,"IT"
"2190755568","politician",31743,"ES"
"793778228","politician",37410,"DE"
"710201540116652033","politician",39275,"DE"
"107505580","politician",184489,"IT"
"2617481322","politician",2934,"ES"
"15484198","politician",311339,"UK"
"1273010575","politician",51931,"DE"
"1627905570","politician",142555,"DE"
"75896448","politician",264385,"UK"
"4170491","official",1041481,"US"
"131935861","official",170690,"US"
"3819701","official",434144,"US"
"15163577","official",143368,"US"
"13657922","official",152211,"US"
"14352556","official",627386,"US"
"135920727","official",39365,"UK"
"15679641","official",657779,"US"
"43805270","official",157829,"US"
"15627208","official",85370,"US"
"20269833","official",70517,"US"
"14838173","official",239139,"US"
"14055301","official",2851413,"US"
"14085040","official",426336,"US"
"8861752","official",316807,"US"
"408696260","official",9331,"US"
"39321874","official",1319772,"ES"
"17870319","official",17481,"FR"
"14662354","official",351688,"US"
"126424795","official",73961,"US"
"20687723","official",169774,"UK"
"16803602","official",117600,"UK"
"13115682","official",378150,"US"
"17171111","official",85187,"US"
"17348525","official",359990,"US"
"15450996","official",354886,"US"
"14955722","official",281729,"US"
"16715398","official",654803,"US"
"7309052","official",1106423,"US"
"10168082","official",641929,"US"
"82689705","official",162502,"US"
"816653","official",10038911,"US"
"14095883","official",143310,"US"
"82084630","official",1135864,"ES"
"95431448","official",736160,"US"
"104277809","official",382557,"US"
"14159148","official",10911275,"US"
"15012486","official",6661289,"US"
"8216772","official",433166,"US"
"14511951","official",11419855,"US"
"19649135","official",283550,"IT"
"14148802","official",177329,"US"
"12811952","official",493486,"US"
"38228095","official",99414,"US"
"8695932","official",242154,"US"
"19426551","sport",24444301,"US"
"2097571","official",8356740,"US"
"21328656","official",154842,"US"
"157997359","official",100166,"UK"
"14677919","official",8613538,"US"
"43910684","official",1162638,"ES"
"16666806","official",44958,"US"
"15926431","official",167793,"US"
"14436030","official",3261562,"ES"
"40665170","official",7456,"US"
"2996801","official",77283,"US"
"15369276","official",153698,"US"
"14192680","official",230500,"US"
"14705603","official",337741,"US"
"9763482","official",689170,"US"
"21780652","official",161043,"US"
"1947301","official",1240723,"US"
"24920395","official",241653,"US"
"31090827","official",1357864,"ES"
"14647570","official",3708301,"US"
"5392522","official",7707825,"US"
"24852465","showbiz",10290963,NA
"38529724","official",14954,"US"
"16308922","official",84430,"CH"
"27830610","official",1642090,"IT"
"742143","official",24743925,"UK"
"20998647","official",3518980,"US"
"567289542","official",65940,"SA"
"70529694","official",25170,"UK"
"28785486","official",14197094,"US"
"2768501","official",1505675,"US"
"21425858","official",28661,"US"
"491153473","official",2847,"AE"
"29416653","official",1027402,"IT"
"939091","politician",3361379,"US"
"2488541","official",101318,"US"
"212018265","official",2396,"UK"
"7313362","official",1075692,"US"
"15808647","official",924661,"US"
"14602259","official",460487,"US"
"36511031","official",471538,"US"
"38393107","official",11795,"UK"
"14700316","official",3932142,"US"
"32861321","official",1994935,"FR"
"2992751","official",313874,"US"
"50393960","vip",47324371,"US"
"344634424","sport",15559587,"ES"
"145992645","official",1754771,"ES"
"30261067","official",1607301,"US"
"15485441","showbiz",51176619,"US"
"25048816","official",2934246,"FR"
"16273831","official",1578988,"US"
"6134882","official",240713,"DE"
"5513142","official",45274,"US"
"21114659","official",685769,"US"
"20507237","official",136793,"UK"
"420351046","official",1342018,"IT"
"19976004","official",2409844,"FR"
"11695472","official",839429,"US"
"5715752","official",2088513,"DE"
"6577642","official",144430,"US"
"14808226","official",122986,"BE"
"14076171","official",15133,"US"
"20518298","official",164299,"UK"
"15229557","official",171371,"UK"
"52424550","official",1917278,"IT"
"25049056","official",203413,"FR"
"14060262","official",968884,"IT"
"15243812","official",559389,"DE"
"28100323","official",21635,"FR"
